AnosJava;ProJava;IndJava
2;2;0
5;3;0
2;1;0
5;5;0
13;0;0
4;4;2
4;3;2
4;4;2
6;6;2
0;0;0
0;0;0
1;0;0
1;3;0
4;20;4
6;3;3
4;2;1
5;6;3
10;0;5
1;0;0
6;10;8
3;1;0
6;10;3
0;0;0
4;10;2
3;8;5
0;0;0
1;2;0
1;2;0
2;2;1
3;2;0
0;0;0
4;1;0
6;5;1
0;0;0
6;0;5
3;3;3
0;0;0
5;4;0
0;1;1
10;0;8
1;1;0
5;2;0
6;0;8
2;1;0
0;0;0
8;3;3
1;4;4
0;0;0
2;3;1
0;0;0
0;0;0
5;5;0
3;0;2
5;0;3
4;0;4
2;1;0
6;28;25
7;25;15
2;0;0
0;3;0
6;4;4
15;5;0
2;0;0
14;8;7
1;1;0
5;10;1
9;14;8
15;30;20
12;0;50
1;1;0
5;3;0
1;2;0
0;2;0
5;4;1
20;20;0
0;0;0
0;0;0
0;0;0
1;1;0
10;10;10
6;0;10
1;1;0
3;2;0
7;4;2
2;1;0
12;3;0
7;4;1
10;17;2
5;5;3
9;6;4
8;0;10
0;0;0
0;0;0
3;30;10
4;0;4
